Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2137
Epoch, Test Loss, Training Loss
427,0.0024530,0.0006277
428,0.0026304,0.0005350
429,0.0027818,0.0005663
430,0.0025437,0.0007168
431,0.0025985,0.0007271
432,0.0024006,0.0007523
433,0.0027493,0.0015906
434,0.0029285,0.0007042
435,0.0028809,0.0007034
436,0.0027650,0.0006377
437,0.0029768,0.0006814
438,0.0024768,0.0007453
439,0.0028227,0.0005973
440,0.0026048,0.0007472
441,0.0027450,0.0005251
442,0.0027475,0.0009609
443,0.0026827,0.0006187
444,0.0024767,0.0006369
445,0.0024096,0.0009112
446,0.0024175,0.0006006
447,0.0024191,0.0005163
448,0.0023988,0.0005449
449,0.0024109,0.0005771
450,0.0032995,0.0014363
451,0.0022314,0.0005227
452,0.0024438,0.0008035
453,0.0025433,0.0008803
454,0.0025308,0.0006107
455,0.0024773,0.0008183
456,0.0034301,0.0011057
457,0.0049784,0.0009991
458,0.0075111,0.0046247
459,0.0029429,0.0009958
460,0.0026642,0.0007893
461,0.0025863,0.0006201
462,0.0033899,0.0008104
463,0.0024076,0.0007092
464,0.0035517,0.0009447
465,0.0098550,0.0013251
466,0.0022718,0.0008071
467,0.0032426,0.0007844
468,0.0029710,0.0008328
469,0.0022959,0.0012412
470,0.0024954,0.0009321
471,0.0046593,0.0028653
472,0.0032765,0.0010871
473,0.0036456,0.0006443
474,0.0023987,0.0005838
475,0.0026866,0.0007362
476,0.0024559,0.0006138
477,0.0027188,0.0006991
478,0.0037503,0.0008343
479,0.0028984,0.0006944
480,0.0025272,0.0007064
481,0.0033697,0.0007351
482,0.0028477,0.0008700
483,0.0036458,0.0013337
484,0.0032416,0.0007643
485,0.0024837,0.0007471
486,0.0041750,0.0006504
487,0.0027856,0.0007754
488,0.0034265,0.0006632
489,0.0022937,0.0005224
490,0.0019807,0.0008302
491,0.0022611,0.0010850
492,0.0023402,0.0006231
493,0.0021503,0.0004934
494,0.0031318,0.0008300
495,0.0034090,0.0011067
496,0.0027876,0.0007088
497,0.0034463,0.0008940
498,0.0028367,0.0012357
499,0.0031424,0.0008297

Total training time: 8.45 minutes

Final Stats
RMSE = 2.206
MBE = 0.011
MAE = 1.477
PE = 4.450 %
