Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2204
Epoch, Test Loss, Training Loss
345,0.1645125,0.0560395
346,0.2024312,0.0697389
347,0.2688225,0.0565323
348,0.1676672,0.1611238
349,0.1773548,0.0763602
350,0.2739743,0.1546083
351,0.1812382,0.0577442
352,0.1412295,0.0602329
353,0.1456598,0.0359359
354,0.1505709,0.0537838
355,0.1971705,0.1825155
356,0.2280649,0.0764927
357,0.2114870,0.0532210
358,0.2715060,0.0649265
359,0.1845362,0.0660376
360,0.1492506,0.0286664
361,0.1494709,0.0343171
362,0.2024782,0.1197641
363,0.1902307,0.0262339
364,0.1616342,0.0863776
365,0.1910550,0.0620106
366,0.1861967,0.0937454
367,0.1457372,0.0259770
368,0.1782991,0.0441119
369,0.2556616,0.1037356
370,0.2572400,0.1070142
371,0.2605277,0.0852806
372,0.1793125,0.0817125
373,0.1581938,0.0709499
374,0.1642426,0.0347570
375,0.1510256,0.0522182
376,0.2077819,0.0550509
377,0.1702570,0.1270992
378,0.2193691,0.0997027
379,0.1627265,0.0394646
380,0.1961627,0.0410692
381,0.2082409,0.1285691
382,0.1709700,0.0249572
383,0.1487401,0.0935701
384,0.1512722,0.0424628
385,0.1866271,0.0765879
386,0.1450116,0.0544048
387,0.1652098,0.1237248
388,0.1809585,0.0492487
389,0.1314496,0.1540199
390,0.1753608,0.0875464
391,0.1958870,0.1260045
392,0.1020293,0.0200804
393,0.1032720,0.0487385
394,0.1405473,0.0560745
395,0.1255196,0.0296222
396,0.1267363,0.0759033
397,0.1554842,0.0822825
398,0.1601073,0.1104283
399,0.1445669,0.0740912
400,0.1750513,0.0793682
401,0.1559932,0.0340985
402,0.1552578,0.0531759
403,0.1280205,0.0811436
404,0.1709790,0.1082656
405,0.2960888,0.1240545
406,0.1545178,0.1508145
407,0.1841954,0.0904282
408,0.1393926,0.0576408
409,0.1265875,0.0332344
410,0.4085281,0.1777249
411,0.3028891,0.0758345
412,0.9787405,2.3525062
413,0.3443676,0.9247184
414,0.2832822,0.2979902
415,0.2679901,0.1490671
416,0.2636661,0.1369800
417,0.3225778,0.0957624
418,0.3606902,0.1171580
419,0.4335102,0.0919973
420,0.2685305,0.1529633
421,0.1980540,0.2288076
422,0.2819097,0.0698289
423,0.1901154,0.0741612
424,0.2139084,0.0653798
425,0.1872661,0.0798876
426,0.1595641,0.0388900
427,0.2270425,0.1323473
428,0.2096471,0.0680172
429,0.1738826,0.0409672
430,0.2124163,0.1053730
431,0.1733049,0.1968689
432,0.2306733,0.0999865
433,0.4628678,0.8615881
434,0.1812747,0.2123625
435,0.1329180,0.0889436
436,0.1327928,0.0515754
437,0.1627435,0.0592621
438,0.1858837,0.0489666
439,0.2097126,0.0754090
440,0.2089722,0.0373912
441,0.1378306,0.0617739
442,0.1403311,0.1057957
443,0.1651974,0.1661819
444,0.1121910,0.0464003
445,0.1548968,0.0745442
446,0.1396717,0.0613761
447,0.2000706,0.1780565
448,0.1403128,0.0537588
449,0.1807918,0.0449652
450,0.2090246,0.1147589
451,0.2160935,0.1126621
452,0.1666552,0.0895084
453,0.1314179,0.0214696
454,0.1357085,0.0323833
455,0.1681838,0.0493350
456,0.1781198,0.0686451
457,0.2241600,0.0459115
458,0.2105806,0.1244680
459,0.1994583,0.0375329
460,0.1672857,0.0341579
461,0.2024827,0.0325085
462,0.1722226,0.1048178
463,0.2172143,0.0261399
464,0.1979835,0.0459872
465,0.1829252,0.0337761
466,0.2141808,0.0587825
467,0.1470564,0.0382390
468,0.2735469,0.1157687
469,0.1701480,0.0598035
470,0.2058317,0.0546143
471,0.1771863,0.0282442
472,0.1667772,0.0458628
473,0.1864196,0.0565948
474,0.1306373,0.0773360
475,0.1398429,0.0317306
476,0.1433707,0.0258510
477,0.1325983,0.0874825
478,0.2079478,0.0949399
479,0.1643874,0.0819857
480,0.2160362,0.0295229
481,0.1590793,0.0699535
482,0.2115081,0.0436890
483,0.1815983,0.1593664
484,0.2142890,0.1153441
485,0.1686229,0.0325028
486,0.1508138,0.0560724
487,0.1684918,0.0187063
488,0.1334355,0.1100150
489,0.1863055,0.0396693
490,0.1388594,0.0548230
491,0.1908781,0.0567992
492,0.1449941,0.0445515
493,0.1179868,0.0307774
494,0.1475065,0.0711441
495,0.1170799,0.0254440
496,0.1414574,0.0273435
497,0.3553524,0.0763750
498,0.1827378,0.1052071
499,0.1567765,0.0269323

Total training time: 7.90 minutes

Final Stats
RMSE = 0.047
MBE = 0.001
MAE = 0.010
PE = 31.942 %
