Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2153
Epoch, Test Loss, Training Loss
354,0.0025321,0.0011110
355,0.0018013,0.0007482
356,0.0019727,0.0007881
357,0.0020781,0.0015542
358,0.0018831,0.0009357
359,0.0021017,0.0010346
360,0.0026552,0.0009684
361,0.0022414,0.0008943
362,0.0034320,0.0007555
363,0.0021712,0.0013237
364,0.0025008,0.0018428
365,0.0015947,0.0008156
366,0.0017539,0.0006645
367,0.0018560,0.0005569
368,0.0016694,0.0010476
369,0.0014843,0.0003521
370,0.0015841,0.0005412
371,0.0020963,0.0015682
372,0.0020482,0.0010045
373,0.0030964,0.0009858
374,0.0016857,0.0013211
375,0.0020278,0.0004757
376,0.0017135,0.0004566
377,0.0029511,0.0023552
378,0.0024678,0.0009535
379,0.0017551,0.0008496
380,0.0018223,0.0006722
381,0.0020781,0.0007492
382,0.0018408,0.0006056
383,0.0014381,0.0008446
384,0.0020682,0.0005090
385,0.0022419,0.0007279
386,0.0025365,0.0009930
387,0.0032882,0.0016552
388,0.0017979,0.0008762
389,0.0020670,0.0017234
390,0.0019843,0.0007532
391,0.0017729,0.0004829
392,0.0016269,0.0004896
393,0.0021293,0.0009412
394,0.0029331,0.0009767
395,0.0018934,0.0005801
396,0.0024506,0.0010653
397,0.0026122,0.0016159
398,0.0018814,0.0006025
399,0.0111790,0.0075526
400,0.0017086,0.0007609
401,0.0015588,0.0007125
402,0.0052966,0.0019113
403,0.0016892,0.0006257
404,0.0019815,0.0014374
405,0.0017868,0.0005571
406,0.0018067,0.0011615
407,0.0019939,0.0008415
408,0.0019746,0.0005848
409,0.0017617,0.0011483
410,0.0019350,0.0008173
411,0.0026475,0.0016449
412,0.0035188,0.0012141
413,0.0027436,0.0017812
414,0.0020553,0.0008463
415,0.0014809,0.0005680
416,0.0015370,0.0006323
417,0.0020000,0.0006749
418,0.0029749,0.0005482
419,0.0052776,0.0025234
420,0.0015684,0.0012067
421,0.0022264,0.0011425
422,0.0017352,0.0008767
423,0.0017965,0.0009520
424,0.0020530,0.0011663
425,0.0017618,0.0010667
426,0.0015597,0.0007234
427,0.0022400,0.0004719
428,0.0022104,0.0004025
429,0.0018275,0.0008341
430,0.0124639,0.0024271
431,0.0020836,0.0004739
432,0.0030026,0.0009110
433,0.0013214,0.0006155
434,0.0025137,0.0008038
435,0.0021355,0.0015012
436,0.0016834,0.0006878
437,0.0011394,0.0007552
438,0.0030381,0.0015026
439,0.0014645,0.0008866
440,0.0019608,0.0006577
441,0.0019025,0.0006048
442,0.0047217,0.0024485
443,0.0026354,0.0016522
444,0.0027539,0.0017392
445,0.0019716,0.0012916
446,0.0017235,0.0008343
447,0.0017068,0.0008000
